ID,Image,TrialType,Mean,Median
83,4,0,25.4,10.5
83,5,0,21.5,10
84,1,0,35.1,7.5
84,2,0,41.1,31
84,3,0,36.1,24.5
84,4,0,51.6,62.5
84,5,0,33.2,18
85,1,0,49.5,63
85,2,0,32.3,19.5
85,3,0,28.9,17.5
85,4,0,30.6,29
85,5,0,31.5,9.5
86,1,0,43.0,24
86,2,0,33.0,29
86,3,0,27.8,21
86,4,0,34.4,26
86,5,0,43.5,32
87,1,0,39.2,31
87,2,0,34.6,30
87,3,0,40.9,38
87,4,0,57.7,66
87,5,0,30.9,16
88,1,0,32.3,22
88,2,0,39.6,36
88,3,0,39.8,33
88,4,0,54.2,65
88,5,0,38.5,33
89,1,0,28.2,13
89,2,0,18.9,11
89,3,0,24.4,14
89,4,0,20.7,20
89,5,0,21.3,18
90,1,0,32.8,23
90,2,0,31.7,25.5
90,3,0,24.0,18.5
90,4,0,48.8,47.5
90,5,0,74.3,83
91,1,0,28.8,14.5
91,2,0,18.8,8.5
91,3,0,30.8,17.5
91,4,0,27.3,12
91,5,0,24.5,10.5
92,1,0,43.5,36
92,2,0,51.3,62
92,3,0,47.0,45
92,4,0,44.6,37
92,5,0,45.6,42
93,1,0,14.0,10
93,2,0,33.1,19.5
93,3,0,16.2,7
93,4,0,12.9,1
93,5,0,16.6,12.5
94,1,0,33.3,26.5
94,2,0,34.4,23
94,3,0,19.3,15
94,4,0,38.6,22
94,5,0,50.6,50.5
95,1,0,23.0,13
95,2,0,30.2,20
95,3,0,23.1,2.5
95,4,0,35.4,25.5
95,5,0,37.4,25.5
96,1,0,54.4,58
96,2,0,39.6,34
96,3,0,43.9,46
96,4,0,51.9,55
96,5,0,47.9,39
97,1,0,49.9,45
97,2,0,58.4,54
97,3,0,52.7,55
97,4,0,45.1,48
97,5,0,51.3,60
98,1,0,37.1,29
98,2,0,35.0,28
98,3,0,40.4,30
98,4,0,40.2,24
98,5,0,38.4,25
99,1,0,17.0,3
99,2,0,31.3,29
99,3,0,27.3,11
99,4,0,17.5,12
99,5,0,27.1,16.5
100,1,0,30.1,26.5
100,2,0,26.9,19
100,3,0,22.1,10.5
100,4,0,38.3,27.5
100,5,0,28.6,18.5
101,1,0,39.25,28
101,2,0,38.4375,25.5
101,3,0,35.1875,24.5
101,4,0,30.25,15.5
101,5,0,41.1875,29
102,1,0,47.6,56
102,2,0,36.33333333,32
102,3,0,45.8,56
102,4,0,67.13333333,79
102,5,0,51.2,46
103,1,0,24.30769231,17
103,2,0,31.84615385,21
103,3,0,23.30769231,20
103,4,0,21.92307692,17
103,5,0,18.92307692,7
104,1,0,15.53333333,15
104,2,0,27.86666667,26
104,3,0,21.6,16
104,4,0,18.86666667,15
104,5,0,24.46666667,15
105,1,0,34.28571429,28
105,2,0,42.71428571,31.5
105,3,0,41.07142857,40
105,4,0,22.71428571,10.5
105,5,0,45.07142857,37.5
106,1,0,33,26.5
106,2,0,30.125,20
106,3,0,27.5,21
106,4,0,24.4375,18
106,5,0,25.75,10.5
107,1,0,16.69230769,3
107,2,0,21,8
107,3,0,29.30769231,26
107,4,0,14.23076923,13
107,5,0,22.07692308,6
108,1,0,56.21428571,63.5
108,2,0,32.5,22
108,3,0,29.85714286,22.5
108,4,0,40.57142857,31
108,5,0,43.14285714,37.5
109,1,0,39.5625,37.5
109,2,0,26.125,11.5
109,3,0,33.9375,20
109,4,0,33.1875,22
109,5,0,53.375,64
110,1,0,29.8,29
110,2,0,23,18
110,3,0,31.8,18
110,4,0,30.4,22
110,5,0,29.2,20
111,1,0,33.61538462,18
111,2,0,33.92307692,18
111,3,0,40.30769231,26
111,4,0,35.76923077,25
111,5,0,27.76923077,10
112,1,0,9.666666667,1
112,2,0,12.8,1
112,3,0,8.866666667,1
112,4,0,22.26666667,7
112,5,0,23,18
113,1,0,25.125,13.5
113,2,0,41.8125,32
113,3,0,31,19
113,4,0,51.3125,40.5
113,5,0,53,69.5
114,1,0,63.6875,71
114,2,0,66.6875,79.5
114,3,0,64.25,73.5
114,4,0,53.8125,58
114,5,0,44.375,30.5
115,1,0,28.875,19
115,2,0,40.8125,24.5
115,3,0,22.75,10
115,4,0,25.4375,16
115,5,0,17.8125,6.5
116,1,0,42.625,39
116,2,0,51.8125,56
116,3,0,33.0625,22.5
116,4,0,56.25,64
116,5,0,58.375,64
117,1,0,51.38461538,56
117,2,0,52.61538462,63
117,3,0,34.15384615,21
117,4,0,35.46153846,31
117,5,0,56.61538462,61
118,1,0,73,86
118,2,0,34.53333333,19
118,3,0,62,80
118,4,0,55.4,74
118,5,0,46.73333333,37
119,1,0,30.6875,27.5
119,2,0,28.625,19.5
119,3,0,37.125,19.5
119,4,0,46.25,54
119,5,0,35.8125,25
120,1,0,36.66666667,16
120,2,0,49.86666667,55
120,3,0,45.06666667,39
120,4,0,48.66666667,46
120,5,0,41.66666667,40
121,1,0,53.93333333,60
121,2,0,56.33333333,78
121,3,0,48.26666667,41
121,4,0,48.86666667,42
121,5,0,45.93333333,45
122,1,0,18.625,19.5
122,2,0,38.125,21
122,3,0,17.5,8.5
122,4,0,12.875,2.5
122,5,0,17.125,3
123,1,0,24.33333333,21
123,2,0,26.93333333,18
123,3,0,28.26666667,22
123,4,0,41.13333333,39
123,5,0,39.73333333,22
124,1,0,22.1875,18.5
124,2,0,18.125,17
124,3,0,21.9375,19.5
124,4,0,18.5,13.5
124,5,0,14.0625,1
125,1,0,15.73333333,1
125,2,0,16.93333333,4
125,3,0,16.8,1
125,4,0,11.4,6
125,5,0,18.6,10
126,1,0,51.875,71.5
126,2,0,40.75,26.5
126,3,0,51.8125,60.5
126,4,0,33.75,22.5
126,5,0,40.4375,39.5
127,1,0,60.8125,72
127,2,0,53.875,58.5
127,3,0,59.75,63
127,4,0,49.9375,51
127,5,0,24.9375,16.5
128,1,0,15.6,14
128,2,0,19.8,15
128,3,0,12.33333333,1
128,4,0,22.8,6
128,5,0,10.73333333,5
129,1,0,46.0625,35
129,2,0,37.5,27
129,3,0,46,50.5
129,4,0,33.875,27
129,5,0,20.8125,20.5
130,1,0,31.92307692,21
130,2,0,23.23076923,18
130,3,0,25.53846154,22
130,4,0,7.384615385,3
130,5,0,17.92307692,11
131,1,0,55.125,59
131,2,0,40.1875,29
131,3,0,29.0625,19
131,4,0,62.4375,75
131,5,0,57.75,62.5
132,1,0,46.38461538,50
132,2,0,35.07692308,20
132,3,0,34,25
132,4,0,17.61538462,1
132,5,0,39.69230769,23
133,1,0,45.26666667,42
133,2,0,59.46666667,82
133,3,0,50.4,63
133,4,0,37,23
133,5,0,43.53333333,26
134,1,0,30.8,22
134,2,0,33.53333333,21
134,3,0,36.4,31
134,4,0,42.06666667,32
134,5,0,40.86666667,34
135,1,0,61.4,77
135,2,0,60.4,70
135,3,0,38.53333333,31
135,4,0,59.06666667,72
135,5,0,40.33333333,35
